Title,AltTitle,Author,Key,OriginalKey,Tempo,TimeSig,CcliNumber,Year,Copyright,PageCount,SheetType,Status,DataType,Category,Path
Great Are You Lord,,"David Leonard,Jason Ingram,Leslie Jordan",,A,144,'6/8,6460220,2012,"Integrity's Praise! Music,Little Way Creative,Open Hands Music,So Essential Tunes",0,LyricsSheet,TRUE,Html,,Html\Lyric\Great Are You Lord-6460220-Lyric.txt
Great I Am,,Jared Anderson,,D,80,'4/4,5881491,2011,Integrity Worship Music,2,NumberChart,TRUE,File,,File\Number\great-i-am-#.pdf
Great I Am,,Jared Anderson,,D,80,'4/4,5881491,2011,Integrity Worship Music,0,NumberChart,TRUE,Html,,Html\Number\Great I Am-5881491-Number.html
Great I Am,,Jared Anderson,D,D,80,'4/4,5881491,2011,Integrity Worship Music,2,ChordSheet,TRUE,File,,File\Chord\great-i-am-D.pdf
Great I Am,,Jared Anderson,D,D,80,'4/4,5881491,2011,Integrity Worship Music,0,ChordSheet,TRUE,Html,,Html\Chord\Great I Am-5881491-Chord-D.html
Great I Am,,Jared Anderson,C,D,80,'4/4,5881491,2011,Integrity Worship Music,2,ChordSheet,TRUE,File,,File\Chord\great-i-am-C.pdf
Great I Am,,Jared Anderson,C,D,80,'4/4,5881491,2011,Integrity Worship Music,0,ChordSheet,TRUE,Html,,Html\Chord\Great I Am-5881491-Chord-C.html
Great I Am,,Jared Anderson,D,D,80,'4/4,5881491,2011,Integrity Worship Music,3,LeadSheet,TRUE,File,,File\Lead\Great I Am (D).pdf
Great I Am,,Jared Anderson,D,D,80,'4/4,5881491,2011,Integrity Worship Music,0,LeadSheet,TRUE,Html,,Html\Lead\Great I Am-5881491-Lead-D.html
Great I Am,,Jared Anderson,C,D,80,'4/4,5881491,2011,Integrity Worship Music,3,LeadSheet,TRUE,File,,File\Lead\Great I Am (C).pdf
Great I Am,,Jared Anderson,C,D,80,'4/4,5881491,2011,Integrity Worship Music,0,LeadSheet,TRUE,Html,,Html\Lead\Great I Am-5881491-Lead-C.html
Great I Am,,Jared Anderson,,D,80,'4/4,5881491,2011,Integrity Worship Music,0,LyricsSheet,TRUE,File,,File\Lyric\Great I Am.txt
Great I Am,,Jared Anderson,,D,80,'4/4,5881491,2011,Integrity Worship Music,0,LyricsSheet,TRUE,Html,,Html\Lyric\Great I Am-5881491-Lyric.txt
Great Is Thy Faithfulness,Beginning To End,"Jason Ingram,Michael Weaver,Thomas Obediah Chisholm,William Marion Runyan",,C,100,'3/4,7109317,0,"Weave Country,Fellow Ships Music,So Essential Tunes,Curb Word Music,Hope Publishing Company",2,NumberChart,TRUE,File,,File\Number\great-is-thy-faithfulness-beginning-to-end-#.pdf
Great Is Thy Faithfulness,Beginning To End,"Jason Ingram,Michael Weaver,Thomas Obediah Chisholm,William Marion Runyan",,C,100,'3/4,7109317,0,"Weave Country,Fellow Ships Music,So Essential Tunes,Curb Word Music,Hope Publishing Company",0,NumberChart,TRUE,Html,,Html\Number\Great Is Thy Faithfulness (Beginning To End)-7109317-Number.html
Great Is Thy Faithfulness,Beginning To End,"Jason Ingram,Michael Weaver,Thomas Obediah Chisholm,William Marion Runyan",C,C,100,'3/4,7109317,0,"Weave Country,Fellow Ships Music,So Essential Tunes,Curb Word Music,Hope Publishing Company",2,ChordSheet,TRUE,File,,File\Chord\great-is-thy-faithfulness-beginning-to-end-C.pdf
Great Is Thy Faithfulness,Beginning To End,"Jason Ingram,Michael Weaver,Thomas Obediah Chisholm,William Marion Runyan",C,C,100,'3/4,7109317,0,"Weave Country,Fellow Ships Music,So Essential Tunes,Curb Word Music,Hope Publishing Company",0,ChordSheet,TRUE,Html,,Html\Chord\Great Is Thy Faithfulness (Beginning To End)-7109317-Chord-C.html
Great Is Thy Faithfulness,Beginning To End,"Jason Ingram,Michael Weaver,Thomas Obediah Chisholm,William Marion Runyan",C,C,100,'3/4,7109317,0,"Weave Country,Fellow Ships Music,So Essential Tunes,Curb Word Music,Hope Publishing Company",3,LeadSheet,TRUE,File,,File\Lead\Great Is Thy Faithfulness (Beginning To End) (C).pdf
Great Is Thy Faithfulness,Beginning To End,"Jason Ingram,Michael Weaver,Thomas Obediah Chisholm,William Marion Runyan",C,C,100,'3/4,7109317,0,"Weave Country,Fellow Ships Music,So Essential Tunes,Curb Word Music,Hope Publishing Company",0,LeadSheet,TRUE,Html,,Html\Lead\Great Is Thy Faithfulness (Beginning To End)-7109317-Lead-C.html
Great Is Thy Faithfulness,Beginning To End,"Jason Ingram,Michael Weaver,Thomas Obediah Chisholm,William Marion Runyan",,C,100,'3/4,7109317,0,"Weave Country,Fellow Ships Music,So Essential Tunes,Curb Word Music,Hope Publishing Company",0,LyricsSheet,TRUE,File,,File\Lyric\Great Is Thy Faithfulness (Beginning To End).txt
Great Is Thy Faithfulness,Beginning To End,"Jason Ingram,Michael Weaver,Thomas Obediah Chisholm,William Marion Runyan",,C,100,'3/4,7109317,0,"Weave Country,Fellow Ships Music,So Essential Tunes,Curb Word Music,Hope Publishing Company",0,LyricsSheet,TRUE,Html,,Html\Lyric\Great Is Thy Faithfulness (Beginning To End)-7109317-Lyric.txt
Great Is Thy Faithfulness,,"Thomas Obediah Chisholm,William Marion Runyan",,D,75,'3/4,18723,0,"Words: Public Domain,Music: Public Domain",1,NumberChart,TRUE,File,,File\Number\great-is-thy-faithfulness-#.pdf
Great Is Thy Faithfulness,,"Thomas Obediah Chisholm,William Marion Runyan",,D,75,'3/4,18723,0,"Words: Public Domain,Music: Public Domain",0,NumberChart,TRUE,Html,,Html\Number\Great Is Thy Faithfulness-18723-Number.html
Great Is Thy Faithfulness,,"Thomas Obediah Chisholm,William Marion Runyan",D,D,75,'3/4,18723,0,"Words: Public Domain,Music: Public Domain",1,ChordSheet,TRUE,File,,File\Chord\great-is-thy-faithfulness-D.pdf
Great Is Thy Faithfulness,,"Thomas Obediah Chisholm,William Marion Runyan",D,D,75,'3/4,18723,0,"Words: Public Domain,Music: Public Domain",0,ChordSheet,TRUE,Html,,Html\Chord\Great Is Thy Faithfulness-18723-Chord-D.html
Great Is Thy Faithfulness,,"Thomas Obediah Chisholm,William Marion Runyan",E,D,75,'3/4,18723,0,"Words: Public Domain,Music: Public Domain",1,ChordSheet,TRUE,File,,File\Chord\great-is-thy-faithfulness-E.pdf
Great Is Thy Faithfulness,,"Thomas Obediah Chisholm,William Marion Runyan",E,D,75,'3/4,18723,0,"Words: Public Domain,Music: Public Domain",0,ChordSheet,TRUE,Html,,Html\Chord\Great Is Thy Faithfulness-18723-Chord-E.html
Great Is Thy Faithfulness,,"Thomas Obediah Chisholm,William Marion Runyan",D,D,75,'3/4,18723,0,"Words: Public Domain,Music: Public Domain",2,LeadSheet,TRUE,File,,File\Lead\Great Is Thy Faithfulness (D).pdf
Great Is Thy Faithfulness,,"Thomas Obediah Chisholm,William Marion Runyan",D,D,75,'3/4,18723,0,"Words: Public Domain,Music: Public Domain",0,LeadSheet,TRUE,Html,,Html\Lead\Great Is Thy Faithfulness-18723-Lead-D.html
Great Is Thy Faithfulness,,"Thomas Obediah Chisholm,William Marion Runyan",E,D,75,'3/4,18723,0,"Words: Public Domain,Music: Public Domain",2,LeadSheet,TRUE,File,,File\Lead\Great Is Thy Faithfulness (E).pdf
Great Is Thy Faithfulness,,"Thomas Obediah Chisholm,William Marion Runyan",E,D,75,'3/4,18723,0,"Words: Public Domain,Music: Public Domain",0,LeadSheet,TRUE,Html,,Html\Lead\Great Is Thy Faithfulness-18723-Lead-E.html
Great Is Thy Faithfulness,,"Thomas Obediah Chisholm,William Marion Runyan",,D,75,'3/4,18723,0,"Words: Public Domain,Music: Public Domain",0,LyricsSheet,TRUE,File,,File\Lyric\Great Is Thy Faithfulness.txt
Great Is Thy Faithfulness,,"Thomas Obediah Chisholm,William Marion Runyan",,D,75,'3/4,18723,0,"Words: Public Domain,Music: Public Domain",0,LyricsSheet,TRUE,Html,,Html\Lyric\Great Is Thy Faithfulness-18723-Lyric.txt
Hallelujah For The Cross,,"Ross King,Todd Wright",,Bb,115,'4/4,6550556,2012,"Simple Tense Songs,Christian Taylor Music",2,NumberChart,TRUE,File,,File\Number\hallelujah-for-the-cross-#.pdf
Hallelujah For The Cross,,"Ross King,Todd Wright",,Bb,115,'4/4,6550556,2012,"Simple Tense Songs,Christian Taylor Music",0,NumberChart,TRUE,Html,,Html\Number\Hallelujah For The Cross-6550556-Number.html
Hallelujah For The Cross,,"Ross King,Todd Wright",A,Bb,115,'4/4,6550556,2012,"Simple Tense Songs,Christian Taylor Music",2,ChordSheet,TRUE,File,,File\Chord\hallelujah-for-the-cross-A.pdf
Hallelujah For The Cross,,"Ross King,Todd Wright",A,Bb,115,'4/4,6550556,2012,"Simple Tense Songs,Christian Taylor Music",0,ChordSheet,TRUE,Html,,Html\Chord\Hallelujah For The Cross-6550556-Chord-A.html
Hallelujah For The Cross,,"Ross King,Todd Wright",Bb,Bb,115,'4/4,6550556,2012,"Simple Tense Songs,Christian Taylor Music",2,ChordSheet,TRUE,File,,File\Chord\hallelujah-for-the-cross-Bb.pdf
Hallelujah For The Cross,,"Ross King,Todd Wright",Bb,Bb,115,'4/4,6550556,2012,"Simple Tense Songs,Christian Taylor Music",0,ChordSheet,TRUE,Html,,Html\Chord\Hallelujah For The Cross-6550556-Chord-Bb.html
Hallelujah For The Cross,,"Ross King,Todd Wright",A,Bb,115,'4/4,6550556,2012,"Simple Tense Songs,Christian Taylor Music",3,LeadSheet,TRUE,File,,File\Lead\Hallelujah For The Cross (A).pdf
Hallelujah For The Cross,,"Ross King,Todd Wright",A,Bb,115,'4/4,6550556,2012,"Simple Tense Songs,Christian Taylor Music",0,LeadSheet,TRUE,Html,,Html\Lead\Hallelujah For The Cross-6550556-Lead-A.html
Hallelujah For The Cross,,"Ross King,Todd Wright",Bb,Bb,115,'4/4,6550556,2012,"Simple Tense Songs,Christian Taylor Music",3,LeadSheet,TRUE,File,,File\Lead\Hallelujah For The Cross (Bb).pdf
Hallelujah For The Cross,,"Ross King,Todd Wright",Bb,Bb,115,'4/4,6550556,2012,"Simple Tense Songs,Christian Taylor Music",0,LeadSheet,TRUE,Html,,Html\Lead\Hallelujah For The Cross-6550556-Lead-Bb.html
Hallelujah For The Cross,,"Ross King,Todd Wright",,Bb,115,'4/4,6550556,2012,"Simple Tense Songs,Christian Taylor Music",0,LyricsSheet,TRUE,File,,File\Lyric\Hallelujah For The Cross.txt
Hallelujah For The Cross,,"Ross King,Todd Wright",,Bb,115,'4/4,6550556,2012,"Simple Tense Songs,Christian Taylor Music",0,LyricsSheet,TRUE,Html,,Html\Lyric\Hallelujah For The Cross-6550556-Lyric.txt
Hallelujah For The Cross,,"Ben Glover,Chris McClarney,Jeff Pardo",,D,75,'4/4,7107551,2018,"9t One Songs,Ariose Music,Capitol CMG Genesis,Da Bears Da Bears Da Bears Music,Jesus Culture Music,Meaux Jeaux Music",2,NumberChart,TRUE,File,,File\Number\hallelujah-for-the-cross-#.pdf
Hallelujah For The Cross,,"Ben Glover,Chris McClarney,Jeff Pardo",,D,75,'4/4,7107551,2018,"9t One Songs,Ariose Music,Capitol CMG Genesis,Da Bears Da Bears Da Bears Music,Jesus Culture Music,Meaux Jeaux Music",0,NumberChart,TRUE,Html,,Html\Number\Hallelujah For The Cross-7107551-Number.html
Hallelujah For The Cross,,"Ben Glover,Chris McClarney,Jeff Pardo",D,D,75,'4/4,7107551,2018,"9t One Songs,Ariose Music,Capitol CMG Genesis,Da Bears Da Bears Da Bears Music,Jesus Culture Music,Meaux Jeaux Music",2,ChordSheet,TRUE,File,,File\Chord\hallelujah-for-the-cross-D.pdf
Hallelujah For The Cross,,"Ben Glover,Chris McClarney,Jeff Pardo",D,D,75,'4/4,7107551,2018,"9t One Songs,Ariose Music,Capitol CMG Genesis,Da Bears Da Bears Da Bears Music,Jesus Culture Music,Meaux Jeaux Music",0,ChordSheet,TRUE,Html,,Html\Chord\Hallelujah For The Cross-7107551-Chord-D.html
Hallelujah For The Cross,,"Ben Glover,Chris McClarney,Jeff Pardo",C,D,75,'4/4,7107551,2018,"9t One Songs,Ariose Music,Capitol CMG Genesis,Da Bears Da Bears Da Bears Music,Jesus Culture Music,Meaux Jeaux Music",2,ChordSheet,TRUE,File,,File\Chord\hallelujah-for-the-cross-C.pdf
Hallelujah For The Cross,,"Ben Glover,Chris McClarney,Jeff Pardo",C,D,75,'4/4,7107551,2018,"9t One Songs,Ariose Music,Capitol CMG Genesis,Da Bears Da Bears Da Bears Music,Jesus Culture Music,Meaux Jeaux Music",0,ChordSheet,TRUE,Html,,Html\Chord\Hallelujah For The Cross-7107551-Chord-C.html
